,date,headline_score,story_score,avg_score
72,2018-01-28,0.1779,0.1027,0.1403
70,2018-01-29,0.18313333333333334,0.19858333333333333,0.19085833333333335
69,2018-01-30,0.1767217391304348,0.14507826086956524,0.16090000000000002
67,2018-01-31,0.20444615384615383,0.4010461538461539,0.3027461538461539
66,2018-02-01,0.16186153846153847,0.2768615384615385,0.2193615384615385
65,2018-02-02,-0.040793750000000004,0.152775,0.055990624999999995
71,2018-02-03,0.0,0.34,0.17
64,2018-02-04,0.13616,0.09576000000000001,0.11596000000000001
68,2018-02-05,0.21963333333333335,0.31044166666666667,0.26503750000000004
62,2018-02-06,-0.0631,0.2338916666666667,0.08539583333333334
61,2018-02-07,0.18054166666666668,0.08145833333333331,0.131
60,2018-02-08,0.12619473684210525,0.19783684210526317,0.16201578947368422
59,2018-02-09,0.08794705882352942,0.13283529411764705,0.11039117647058824
63,2018-02-10,-0.2997,0.17770000000000002,-0.061
58,2018-02-11,0.08895,0.44789999999999996,0.26842499999999997
56,2018-02-12,0.0875909090909091,0.3343909090909091,0.21099090909090912
55,2018-02-13,0.07164210526315788,0.16812105263157892,0.1198815789473684
54,2018-02-14,0.004494444444444446,0.20461666666666667,0.10455555555555555
53,2018-02-15,0.014561111111111115,0.15417222222222224,0.08436666666666667
52,2018-02-16,0.0944142857142857,0.3660642857142857,0.2302392857142857
57,2018-02-17,0.5106,-0.0754,0.21760000000000002
51,2018-02-19,0.1779,0.872,0.52495
50,2018-02-20,0.1276090909090909,-0.0805090909090909,0.023549999999999995
49,2018-02-21,0.0454,0.2134,0.12940000000000002
48,2018-02-22,0.08896250000000001,0.4021875,0.245575
47,2018-02-23,0.0984090909090909,0.26097272727272725,0.17969090909090907
46,2018-02-25,-0.08902499999999999,0.06132500000000001,-0.01384999999999999
45,2018-02-26,0.05942666666666666,0.22128,0.14035333333333333
44,2018-02-27,-0.04278999999999999,0.31595,0.13658
42,2018-02-28,0.02453200000000001,0.17778400000000003,0.10115800000000001
41,2018-03-01,0.15596470588235292,0.22434705882352943,0.19015588235294117
40,2018-03-02,-0.12739999999999999,0.24993749999999998,0.06126875
43,2018-03-04,0.0,0.4831666666666667,0.24158333333333334
39,2018-03-05,0.0900857142857143,0.2103190476190476,0.15020238095238095
38,2018-03-06,0.03743200000000001,0.21450799999999998,0.12597
37,2018-03-07,0.0369416666666667,0.4215416666666667,0.2292416666666667
36,2018-03-08,0.055255,0.072705,0.06398000000000001
35,2018-03-09,-0.10869285714285713,0.1133857142857143,0.0023464285714285826
32,2018-03-12,0.13876842105263157,0.16156315789473685,0.1501657894736842
31,2018-03-13,-0.075675,0.17023333333333335,0.04727916666666667
30,2018-03-14,0.016247058823529413,0.34762941176470585,0.18193823529411762
29,2018-03-15,-0.06367777777777778,0.027661111111111126,-0.018008333333333328
28,2018-03-16,-0.07355384615384615,0.04153846153846153,-0.01600769230769231
34,2018-03-17,0.0,0.7351,0.36755
33,2018-03-18,0.3182,0.7346,0.5264
27,2018-03-19,-0.042376000000000004,0.096904,0.027264
25,2018-03-20,-0.06754285714285714,0.14833928571428573,0.040398214285714294
24,2018-03-21,3.333333333332966e-05,0.28013333333333335,0.14008333333333334
23,2018-03-22,0.07454999999999998,0.18668333333333334,0.13061666666666666
22,2018-03-23,0.058519999999999996,0.15517999999999996,0.10684999999999997
26,2018-03-25,-0.2294,0.1806,-0.02439999999999999
21,2018-03-26,0.07663125,0.33538125,0.20600625
19,2018-03-27,-0.003910714285714286,0.27417142857142857,0.13513035714285715
18,2018-03-28,-0.06395666666666668,0.05393333333333334,-0.005011666666666668
17,2018-03-29,0.05596333333333332,-0.00811000000000001,0.02392666666666666
16,2018-03-30,-0.010300000000000012,-0.11476666666666664,-0.06253333333333333
15,2018-03-31,-0.5574,-0.6908,-0.6241
20,2018-04-01,-0.14646666666666666,0.09293333333333335,-0.026766666666666654
14,2018-04-02,-0.08971290322580647,-0.11168064516129031,-0.10069677419354839
13,2018-04-03,0.05689705882352942,0.13823823529411766,0.09756764705882354
12,2018-04-04,-0.007966666666666667,0.1384030303030303,0.06521818181818181
11,2018-04-05,0.03651111111111111,0.09996666666666666,0.06823888888888889
10,2018-04-06,0.012752941176470592,0.2630352941176471,0.13789411764705883
9,2018-04-08,-0.01100000000000001,0.16290000000000002,0.07595
8,2018-04-09,0.0871625,0.20755,0.14735625000000002
7,2018-04-10,0.11836153846153848,0.22403846153846158,0.17120000000000002
6,2018-04-11,0.12372727272727274,0.23770000000000005,0.1807136363636364
4,2018-04-12,-0.02225714285714286,0.1201357142857143,0.04893928571428572
5,2018-04-13,0.020374999999999997,0.3038166666666667,0.16209583333333333
3,2018-04-14,0.1779,0.2263,0.2021
1,2018-04-16,0.005353846153846162,0.30073846153846157,0.15304615384615386
2,2018-04-17,0.032699999999999986,-0.03509166666666665,-0.0011958333333333335
0,2018-04-18,0.032985,0.09108000000000001,0.062032500000000004
